sim,set,variable,offset,eff,eff_low,eff_upp,occ
1,ranges,Over-0.50,0.5,8358.463157019976,8283.681268471337,8441.277522968798,0.4021
1,ranges,Over-0.45,0.45,8356.236429972996,8267.471493824238,8437.005777736274,0.4021
1,ranges,Over-0.40,0.4,8395.944150923124,8306.626636310588,8468.810814725723,0.4021
1,ranges,Over-0.35,0.35,8382.795919116958,8299.769087149138,8451.914989614474,0.4021
1,ranges,Over-0.30,0.3,8367.345604775612,8285.986985323012,8451.914989614474,0.4021
1,ranges,Over-0.25,0.25,8362.909270355536,8276.749179638864,8447.66717810403,0.4021
1,ranges,Over-0.20,0.2,8371.772170836539,8299.769087149138,8464.601148612897,0.4021
1,ranges,Over-0.15,0.15,8360.687436710114,8281.3730627088,8445.539686197088,0.4021
1,ranges,Over-0.10,0.1,8362.909270355536,8283.681268471337,8439.142848810667,0.4021
1,ranges,Over-0.05,0.05,8369.560108189356,8285.986985323012,8456.153247564322,0.4021
1,ranges,True-0.00,0.0,8365.128659271346,8297.478278291765,8441.277522968798,0.4021
1,ranges,Under-0.05,-0.05,8281.3730627088,8199.008722235889,8367.345604775612,0.4021
1,ranges,Under-0.10,-0.1,8227.594665340863,8162.763757542148,8288.290214471133,0.4021
1,ranges,Under-0.15,-0.15,8113.545579408588,8024.940552937397,8210.963699359008,0.4021
1,ranges,Under-0.20,-0.2,8083.522645086436,7980.758961554054,8167.6294378952725,0.4021
1,ranges,Under-0.25,-0.25,8001.643960374723,7887.420437394772,8073.4326405655365,0.4021
1,ranges,Under-0.30,-0.3,7941.1494960549235,7793.666010340454,8053.128755199981,0.4021
1,ranges,Under-0.35,-0.35,7816.000196424972,7714.163465973243,7922.463662794329,0.4021
1,ranges,Under-0.40,-0.4,7702.636501883577,7557.989714056339,7813.217667302833,0.4021
1,ranges,Under-0.45,-0.45,7527.688450344949,7425.819513358144,7670.718723641944,0.4021
1,ranges,Under-0.50,-0.5,7378.567093939395,7216.811377480713,7469.387608576125,0.4021
2,ranges,Over-0.50,0.5,9338.951625174112,9311.188409426222,9369.569328595864,0.4005
2,ranges,Over-0.45,0.45,9336.930532748569,9305.93235877255,9367.633725218213,0.4005
2,ranges,Over-0.40,0.4,9338.951625174112,9305.93235877255,9365.692698693887,0.4005
2,ranges,Over-0.35,0.35,9339.96006749768,9299.577095625558,9362.770962821702,0.4005
2,ranges,Over-0.30,0.3,9331.85318108573,9298.512770950438,9364.720147797914,0.4005
2,ranges,Over-0.25,0.25,9339.96006749768,9308.039129763903,9368.602204010129,0.4005
2,ranges,Over-0.20,0.2,9342.976998222744,9310.140097598258,9371.499521464548,0.4005
2,ranges,Over-0.15,0.15,9343.979848407695,9311.188409426222,9370.535100554618,0.4005
2,ranges,Over-0.10,0.1,9338.951625174112,9306.986470482243,9370.535100554618,0.4005
2,ranges,Over-0.05,0.05,9340.967109374784,9308.039129763903,9366.663890639888,0.4005
2,ranges,True-0.00,0.0,9334.90381921028,9310.140097598258,9366.663890639888,0.4005
2,ranges,Under-0.05,-0.05,9312.235275376683,9278.01026114691,9336.930532748569,0.4005
2,ranges,Under-0.10,-0.1,9283.45758964514,9249.07614506515,9311.188409426222,0.4005
2,ranges,Under-0.15,-0.15,9242.252223218025,9203.712974314534,9276.91631103441,0.4005
2,ranges,Under-0.20,-0.2,9208.476372767092,9168.402621601828,9245.671139378535,0.4005
2,ranges,Under-0.25,-0.25,9184.401190915538,9141.965659830415,9221.444049422078,0.4005
2,ranges,Under-0.30,-0.3,9141.965659830415,9105.552012209857,9173.354903756637,0.4005
2,ranges,Under-0.35,-0.35,9086.835385991764,9035.690314250782,9122.625878908682,0.4005
2,ranges,Under-0.40,-0.4,9018.568431331354,8979.063804649815,9063.642042558396,0.4005
2,ranges,Under-0.45,-0.45,8973.09424602173,8928.89488622731,9027.162540251931,0.4005
2,ranges,Under-0.50,-0.5,8889.471070951058,8830.49418736141,8948.909588414925,0.4005
3,ranges,Over-0.50,0.5,8689.731350492602,8625.689842129772,8742.34107454816,0.3808
3,ranges,Over-0.45,0.45,8680.47467288718,8627.61035176452,8731.60624586908,0.3808
3,ranges,Over-0.40,0.4,8687.8844255224,8621.842049007895,8740.557329921567,0.3808
3,ranges,Over-0.35,0.35,8676.756541808585,8610.244363534694,8728.010679022951,0.3808
3,ranges,Over-0.30,0.3,8682.33042226236,8621.842049007895,8736.983373545118,0.3808
3,ranges,Over-0.25,0.25,8680.47467288718,8621.842049007895,8744.122665718709,0.3808
3,ranges,Over-0.20,0.2,8678.616713285104,8629.528605588917,8745.902105123352,0.3808
3,ranges,Over-0.15,0.15,8680.47467288718,8617.985213396976,8729.809545074226,0.3808
3,ranges,Over-0.10,0.1,8667.422448741747,8608.303479545804,8718.983811114535,0.3808
3,ranges,Over-0.05,0.05,8687.8844255224,8619.914762314183,8738.771430149876,0.3808
3,ranges,True-0.00,0.0,8678.616713285104,8629.528605588917,8736.983373545118,0.3808
3,ranges,Under-0.05,-0.05,8614.11932249703,8553.03061537481,8678.616713285104,0.3808
3,ranges,Under-0.10,-0.1,8584.835218569613,8510.3864887033,8623.767075078933,0.3808
3,ranges,Under-0.15,-0.15,8493.869560688552,8441.277522968798,8574.959576030722,0.3808
3,ranges,Under-0.20,-0.2,8458.268797529894,8382.795919116958,8516.541562788396,0.3808
3,ranges,Under-0.25,-0.25,8404.661127711328,8358.463157019976,8489.716764950415,0.3808
3,ranges,Under-0.30,-0.3,8327.065677356715,8262.817672062884,8426.284419290854,0.3808
3,ranges,Under-0.35,-0.35,8267.471493824238,8194.20902877914,8336.085540478183,0.3808
3,ranges,Under-0.40,-0.4,8191.805384331599,8118.513445473807,8285.986985323012,0.3808
3,ranges,Under-0.45,-0.45,8108.567452386307,8055.675784440832,8186.990494667142,0.3808
3,ranges,Under-0.50,-0.5,7946.4647388885305,7876.548582143989,8040.354796782136,0.3808
4,ranges,Over-0.20,0.2,8022.362433656326,7938.487948685209,8103.5790569710525,0.8611
4,ranges,Over-0.15,0.15,7999.042450062064,7887.420437394772,8078.482798598069,0.8611
4,ranges,Over-0.10,0.1,7964.985709861445,7887.420437394772,8042.914766153527,0.8611
4,ranges,Over-0.05,0.05,7967.621110617132,7871.096871881618,8055.675784440832,0.8611
4,ranges,True-0.00,0.0,7972.884079534826,7881.989769333653,8065.838054201481,0.8611
4,ranges,Under-0.05,-0.05,7900.951113037339,7804.854235588245,7985.995843322363,0.8611
4,ranges,Under-0.10,-0.1,7802.061142408311,7708.405283029823,7911.728379619369,0.8611
4,ranges,Under-0.15,-0.15,7765.510406829547,7638.480218693941,7851.93296190437,0.8611
4,ranges,Under-0.20,-0.2,7688.168175637374,7579.043083115175,7804.854235588245,0.8611
4,ranges,Under-0.25,-0.25,7591.015307961088,7460.095078612666,7688.168175637374,0.8611
4,ranges,Under-0.30,-0.3,7500.191154556346,7378.567093939395,7623.720320442743,0.8611
4,ranges,Under-0.35,-0.35,7413.276686339383,7266.020801181276,7542.872162309321,0.8611
4,ranges,Under-0.40,-0.4,7301.736790935845,7203.590670381329,7416.416338683883,0.8611
4,ranges,Under-0.45,-0.45,7206.899713872588,7031.44023970771,7340.340177305918,0.8611
4,ranges,Under-0.50,-0.5,7062.299304981503,6888.306331986074,7223.406253481457,0.8611
5,ranges,Over-0.50,0.5,9534.195068349869,9511.00457408517,9556.360979030622,0.6814
5,ranges,Over-0.45,0.45,9524.59709489586,9500.184687028408,9548.610412131875,0.6814
5,ranges,Over-0.40,0.4,9527.569686178807,9506.394310594393,9550.736599414628,0.6814
5,ranges,Over-0.35,0.35,9526.08555262074,9504.074117953458,9550.028907322372,0.6814
5,ranges,Over-0.30,0.3,9529.049506504509,9502.521719083057,9552.148879229208,0.6814
5,ranges,Over-0.25,0.25,9520.105667084881,9502.521719083057,9546.474871886332,0.6814
5,ranges,Over-0.20,0.2,9528.31013481306,9505.62203193321,9549.320178670932,0.6814
5,ranges,Over-0.15,0.15,9523.851241048545,9497.052842162408,9548.610412131875,0.6814
5,ranges,Over-0.10,0.1,9520.105667084881,9500.184687028408,9546.474871886332,0.6814
5,ranges,Over-0.05,0.05,9523.104302050318,9504.074117953458,9550.028907322372,0.6814
5,ranges,True-0.00,0.0,9528.31013481306,9511.00457408517,9554.259557897743,0.6814
5,ranges,Under-0.05,-0.05,9507.93551825946,9488.346449278042,9532.730258509178,0.6814
5,ranges,Under-0.10,-0.1,9482.733716840137,9461.385060159173,9510.238976578023,0.6814
5,ranges,Under-0.15,-0.15,9454.65460533516,9427.836361794292,9479.50096278937,0.6814
5,ranges,Under-0.20,-0.2,9440.960805887153,9413.525511816346,9463.889185660628,0.6814
5,ranges,Under-0.25,-0.25,9411.713750729808,9383.914764014133,9440.960805887153,0.6814
5,ranges,Under-0.30,-0.3,9392.378147091462,9364.720147797914,9418.032548215066,0.6814
5,ranges,Under-0.35,-0.35,9332.871471655724,9305.93235877255,9364.720147797914,0.6814
5,ranges,Under-0.40,-0.4,9300.63995637398,9272.52550708786,9327.76586912829,0.6814
5,ranges,Under-0.45,-0.45,9244.533048516234,9207.287927393383,9288.867700238974,0.6814
5,ranges,Under-0.50,-0.5,9202.518111928848,9164.671019990505,9230.754785773226,0.6814
6,ranges,Over-0.50,0.5,9461.385060159173,9437.48828363478,9490.734634614988,0.6245
6,ranges,Over-0.45,0.45,9463.055671971912,9431.363620156866,9487.548090356346,0.6245
