sim,variable,offset,eff,eff_low,eff_upp,deg,pmax,occ,set
1,Over-0.50,0.5,1989.0556815557065,2120.5307155303403,1850.8644375717083,57,1.0,0.4021,ranges
1,Over-0.45,0.45,1907.237373704863,2066.102112324647,1788.9867411301645,57,1.0,0.4021,ranges
1,Over-0.40,0.4,1858.283465387388,2001.027091096822,1711.970408351601,57,1.0,0.4021,ranges
1,Over-0.35,0.35,1810.586078765952,1949.6658404686175,1674.7146499218313,57,1.0,0.4021,ranges
1,Over-0.30,0.3,1729.1777263484853,1836.1151230684918,1605.8265237319897,57,1.0,0.4021,ranges
1,Over-0.25,0.25,1651.4296913945461,1767.6450722082652,1533.6246587676965,57,1.0,0.4021,ranges
1,Over-0.20,0.2,1567.741724508815,1708.5495474501145,1491.2746012329137,57,1.0,0.4021,ranges
1,Over-0.15,0.15,1539.7720587453712,1661.369051738935,1427.0748515577357,57,1.0,0.4021,ranges
1,Over-0.10,0.1,1429.9321433292741,1561.482658183051,1354.756306273633,57,1.0,0.4021,ranges
1,Over-0.05,0.05,1379.3651961818352,1497.2522447181743,1280.9679330181082,57,1.0,0.4021,ranges
1,True-0.00,0.0,1333.2505596051237,1427.0748515577357,1235.6688339883626,57,1.0,0.4021,ranges
1,Under-0.05,-0.05,1340.8696113995861,1429.5000501294003,1240.247016245923,57,0.9824561403508771,0.4021,ranges
1,Under-0.10,-0.1,1340.8696113995861,1449.6558276084345,1247.7116162072532,57,0.9824561403508771,0.4021,ranges
1,Under-0.15,-0.15,1351.6632519708276,1467.182761837354,1250.2306719266135,57,0.9649122807017544,0.4021,ranges
1,Under-0.20,-0.2,1330.6687174353929,1447.285903536625,1243.182731608802,57,0.9473684210526315,0.4021,ranges
1,Under-0.25,-0.25,1309.5453432873212,1415.7901874086274,1208.853040892828,57,0.9473684210526315,0.4021,ranges
1,Under-0.30,-0.3,1309.5453432873212,1407.3200351387422,1211.2734085721913,57,0.9473684210526315,0.4021,ranges
1,Under-0.35,-0.35,1279.370222742658,1388.7112297231859,1190.4849470631912,57,0.9298245614035088,0.4021,ranges
