sim,variable,offset,eff,eff_low,eff_upp,rmse,deg,pmax,occ,set
1,Over-0.50,0.5,1997.0286368563977,1850.8644375717083,2154.735536253984,0.01038049845389116,57,1.0,0.4021,ranges
1,Over-0.48,0.48,1945.7700163281406,1799.7540077986055,2120.5307155303403,0.010948514926264693,57,1.0,0.4021,ranges
1,Over-0.46,0.46,1945.7700163281406,1810.586078765952,2107.844359731826,0.009675509809300088,57,1.0,0.4021,ranges
1,Over-0.44,0.44,1903.4263301671106,1810.586078765952,2074.383901487699,0.01207058679795789,57,1.0,0.4021,ranges
1,Over-0.42,0.42,1869.4678040732863,1750.054959636472,2017.1011256305194,0.011124669155428188,57,1.0,0.4021,ranges
1,Over-0.40,0.4,1836.1151230684918,1711.970408351601,2025.1864986347748,0.014082938316888052,57,1.0,0.4021,ranges
1,Over-0.38,0.38,1817.8436543119299,1698.3279235426635,1965.3272956224707,0.01003885416209721,57,1.0,0.4021,ranges
1,Over-0.36,0.36,1788.9867411301645,1674.7146499218313,1930.2644107639635,0.009945810590637113,57,1.0,0.4021,ranges
1,Over-0.34,0.34,1771.1842542731067,1644.8365084683148,1918.716348328076,0.009259625244881267,57,1.0,0.4021,ranges
1,Over-0.32,0.32,1746.5579981483102,1625.2144758465404,1903.4263301671106,0.010393017314837,57,1.0,0.4021,ranges
1,Over-0.30,0.3,1691.5475036876783,1583.4993744418964,1836.1151230684918,0.009480422213083886,57,1.0,0.4021,ranges
1,Over-0.28,0.28,1681.427596758387,1577.1773971311643,1836.1151230684918,0.009807435619219956,57,1.0,0.4021,ranges
1,Over-0.26,0.26,1658.0493025164508,1555.248580610641,1803.3574784306215,0.012345603040040657,57,1.0,0.4021,ranges
1,Over-0.24,0.24,1609.0417124151688,1518.3633199306562,1757.0699014987401,0.011993767129063025,57,1.0,0.4021,ranges
1,Over-0.22,0.22,1589.8466928443743,1488.2947349035294,1711.970408351601,0.01096099734912985,57,1.0,0.4021,ranges
1,Over-0.20,0.2,1564.6090615008295,1464.6691652060927,1681.427596758387,0.013027395373800417,57,1.0,0.4021,ranges
1,Over-0.18,0.18,1542.854993062865,1441.4186338195739,1664.6954477691381,0.012180305366400574,57,1.0,0.4021,ranges
1,Over-0.16,0.16,1506.2636665572347,1415.7026649307797,1644.8365084683148,0.010678534364115089,57,1.0,0.4021,ranges
1,Over-0.14,0.14,1506.2636665572347,1401.6147862973141,1628.4684831214586,0.008388888348631428,57,1.0,0.4021,ranges
1,Over-0.12,0.12,1458.8216067039468,1371.1129612452237,1580.3352244827963,0.011638818151328566,57,1.0,0.4021,ranges
1,Over-0.10,0.1,1418.5371872903045,1343.9604173739258,1533.6246587676965,0.011132821437490758,57,1.0,0.4021,ranges
1,Over-0.08,0.08,1401.6147862973141,1301.6303446402183,1512.3013923966212,0.01161995443689967,57,1.0,0.4021,ranges
1,Over-0.06,0.06,1379.3651961818352,1296.4337038087856,1491.2746012329137,0.009966560033013433,57,1.0,0.4021,ranges
1,Over-0.04,0.04,1362.910096396854,1280.9679330181082,1482.3528534619568,0.010517003591002909,57,1.0,0.4021,ranges
1,Over-0.02,0.02,1319.983174767192,1248.0887604435989,1432.7951559754106,0.010961194707163748,57,1.0,0.4021,ranges
1,True-0.00,0.0,1291.2578100934884,1220.9279560680316,1404.4211018815158,0.010268721391139731,57,1.0,0.4021,ranges
1,Under-0.02,-0.02,1306.847815750792,1228.2762815663157,1412.873806516542,0.011771334525611606,57,1.0,0.4021,ranges
1,Under-0.04,-0.04,1317.3455831294177,1235.6688339883626,1421.3773849354675,0.01112275592798058,57,1.0,0.4021,ranges
1,Under-0.06,-0.06,1335.9199962147059,1243.1058795200859,1450.0940132700616,0.010979228567443669,57,0.9824561403508771,0.4021,ranges
1,Under-0.08,-0.08,1309.4643887403006,1230.735538492233,1412.873806516542,0.012339132581586717,57,0.9824561403508771,0.4021,ranges
1,Under-0.10,-0.1,1338.5947775749478,1255.600557038076,1444.3046447371225,0.010989431543644705,57,0.9824561403508771,0.4021,ranges
1,Under-0.12,-0.12,1330.586457066321,1240.6219041669356,1435.6639009504904,0.011633423996953666,57,0.9824561403508771,0.4021,ranges
1,Under-0.14,-0.14,1360.1867281433697,1280.9679330181082,1467.6017283783772,0.01078852235318071,57,0.9824561403508771,0.4021,ranges
1,Under-0.16,-0.16,1354.756306273633,1260.6335217808985,1461.7424618843338,0.010346848132254073,57,0.9649122807017544,0.4021,ranges
1,Under-0.18,-0.18,1368.3732020193843,1273.3043727377794,1473.484481228421,0.010062435645678963,57,0.9473684210526315,0.4021,ranges
1,Under-0.20,-0.2,1352.0492309313438,1258.1145226762808,1455.90658797916,0.010340997157039674,57,0.9473684210526315,0.4021,ranges
1,Under-0.22,-0.22,1343.9604173739258,1263.1575644299426,1450.0940132700616,0.012986349523525781,57,0.9473684210526315,0.4021,ranges
1,Under-0.24,-0.24,1317.345583129418,1233.1997193466816,1415.7026649307802,0.01326673953678698,57,0.9473684210526315,0.4021,ranges
1,Under-0.26,-0.26,1338.5947775749478,1245.594828293044,1438.5383897317913,0.01324872154996233,57,0.9473684210526315,0.4021,ranges
1,Under-0.28,-0.28,1330.5864570663214,1248.0887604435989,1435.6639009504904,0.01101058060263227,57,0.9473684210526315,0.4021,ranges
1,Under-0.30,-0.3,1304.2364711999212,1230.735538492233,1401.6147862973144,0.012902598104581586,57,0.9473684210526315,0.4021,ranges
1,Under-0.32,-0.32,1327.9276779397542,1248.0887604435989,1424.2232692293394,0.011310076242777863,57,0.9473684210526315,0.4021,ranges
1,Under-0.34,-0.34,1319.9831747671926,1253.0916148084045,1429.9321433292744,0.011099670533441722,57,0.9298245614035088,0.4021,ranges
1,Under-0.36,-0.36,1327.9276779397544,1243.1058795200865,1424.2232692293396,0.011041152824185031,57,0.9298245614035088,0.4021,ranges
1,Under-0.38,-0.38,1306.8478157507925,1230.7355384922328,1398.8140782955816,0.014555884255422357,57,0.9298245614035088,0.4021,ranges
1,Under-0.40,-0.4,1354.7563062736335,1270.7600547267036,1470.540163133788,0.012457174803537084,57,0.9298245614035088,0.4021,ranges
1,Under-0.42,-0.42,1325.274211588166,1253.0916148084045,1432.795155975411,0.011888827284297434,57,0.9298245614035088,0.4021,ranges
1,Under-0.44,-0.44,1335.9199962147065,1253.0916148084045,1444.3046447371235,0.012278086481355937,57,0.9298245614035088,0.4021,ranges
1,Under-0.46,-0.46,1352.0492309313438,1253.0916148084045,1458.8216067039475,0.012263430215717986,57,0.9298245614035088,0.4021,ranges
1,Under-0.48,-0.48,1346.6512972795197,1250.5876859494865,1438.5383897317913,0.013589571155357293,57,0.9122807017543859,0.4021,ranges
1,Under-0.50,-0.5,1410.050600729879,1322.626047395572,1503.253849063237,0.012902739994513725,57,0.8947368421052632,0.4021,ranges
2,Over-0.50,0.5,573.2321945765318,531.2768499319146,614.800522460634,0.013833022018868194,61,1.0,0.4005,ranges
2,Over-0.48,0.48,561.8803127464993,522.8432258974145,602.6254510915691,0.015315185102052624,61,1.0,0.4005,ranges
2,Over-0.46,0.46,551.8559545879502,519.7152470655122,594.2466454026057,0.014226497006874523,61,1.0,0.4005,ranges
2,Over-0.44,0.44,544.1830396730323,507.3893509956704,580.153115469741,0.0139602510954837,61,1.0,0.4005,ranges
2,Over-0.42,0.42,534.4744138861184,500.33469246284415,575.5299455679465,0.017472733247626375,61,1.0,0.4005,ranges
2,Over-0.40,0.4,527.0431690696867,492.39225211712017,566.393836621852,0.015286782292877834,61,1.0,0.4005,ranges
2,Over-0.38,0.38,520.7558218450073,484.5758920924196,554.0680207956218,0.014995671930609248,61,1.0,0.4005,ranges
2,Over-0.36,0.36,513.5153180881022,484.5758920924196,549.6527198535334,0.017676808962495273,61,1.0,0.4005,ranges
2,Over-0.34,0.34,497.34137391271116,467.4397478084616,536.6168077118871,0.014274503063836753,61,1.0,0.4005,ranges
2,Over-0.32,0.32,495.35578368620907,463.7147770803097,529.1557754021744,0.015907449407763563,61,1.0,0.4005,ranges
2,Over-0.30,0.3,483.6076120830359,453.62345445525654,515.5736992160415,0.01698838316158219,61,1.0,0.4005,ranges
2,Over-0.28,0.28,475.93070167172505,451.8124040481835,508.40524684443017,0.01722651086933909,61,1.0,0.4005,ranges
2,Over-0.26,0.26,472.13806756076787,442.8650332120312,507.3893509956704,0.016102135734936553,61,1.0,0.4005,ranges
2,Over-0.24,0.24,461.8634379849687,438.458014002808,500.33469246284415,0.018235294525047598,61,1.0,0.4005,ranges
2,Over-0.22,0.22,454.5317001316327,424.6481135150536,486.51827206864124,0.018144324542333532,61,1.0,0.4005,ranges
2,Over-0.20,0.2,447.31634815240864,421.26414413712934,479.75380160293366,0.018067490814336506,61,1.0,0.4005,ranges
2,Over-0.18,0.18,441.0969348238203,412.09662867510116,470.2530992438686,0.014994629596337612,61,1.0,0.4005,ranges
2,Over-0.16,0.16,428.0592659535591,404.74452163725687,461.8634379849687,0.018772715131869858,61,1.0,0.4005,ranges
2,Over-0.14,0.14,417.9071412012694,393.5677622651168,448.2119657294789,0.018187848616295823,61,1.0,0.4005,ranges
2,Over-0.12,0.12,409.6312060257371,388.09566048201725,441.9800998806131,0.02088498368137927,61,1.0,0.4005,ranges
2,Over-0.10,0.1,406.3669045645607,376.6245703159274,433.2274409885616,0.018419449166445584,61,1.0,0.4005,ranges
2,Over-0.08,0.08,395.14534413244604,372.8767203129377,426.35027824526804,0.019299629015482565,61,1.0,0.4005,ranges
2,Over-0.06,0.06,387.3201673633838,366.2243252946257,422.1075999456129,0.01976950456638595,61,1.0,0.4005,ranges
2,Over-0.04,0.04,375.87199874059564,354.68953444351985,403.12861592631435,0.017746710350472487,61,1.0,0.4005,ranges
2,Over-0.02,0.02,370.64593595870525,349.7579891799943,403.12861592631435,0.017993018778575974,61,1.0,0.4005,ranges
2,True-0.00,0.0,364.76220796605617,340.78059560975333,390.4314684414629,0.018253252034101594,61,1.0,0.4005,ranges
2,Under-0.02,-0.02,364.03333977447653,342.14658474788195,389.6513079091393,0.02076084352501365,61,1.0,0.4005,ranges
2,Under-0.04,-0.04,364.76220796605617,340.78059560975333,393.5677622651168,0.0168961977136833,61,1.0,0.4005,ranges
2,Under-0.06,-0.06,361.1324021860739,342.14658474788195,388.09566048201725,0.019161451562411565,61,1.0,0.4005,ranges
2,Under-0.08,-0.08,371.3880439019666,346.9708101312699,395.9365048337362,0.020846585436332492,61,1.0,0.4005,ranges
2,Under-0.10,-0.1,361.1324021860739,337.38943460503293,389.6513079091393,0.02061950591120741,61,1.0,0.4005,ranges
2,Under-0.12,-0.12,358.2545818179148,339.42006005908854,389.6513079091393,0.02094041498767281,61,1.0,0.4005,ranges
2,Under-0.14,-0.14,363.3059280080125,340.78059560975333,391.99647874998857,0.023301643245548856,61,1.0,0.4005,ranges
2,Under-0.16,-0.16,371.3880439019666,347.66551569606236,398.31950401047806,0.022111893890264273,61,1.0,0.4005,ranges
2,Under-0.18,-0.18,372.1316376950533,348.361612201555,396.72924959836973,0.02160170541551178,61,1.0,0.4005,ranges
2,Under-0.20,-0.2,364.76220796605617,344.2058417747672,390.4314684414629,0.021369180702588697,61,1.0,0.4005,ranges
2,Under-0.22,-0.22,361.8554621153239,339.42006005908854,390.4314684414629,0.019952853425001176,61,1.0,0.4005,ranges
2,Under-0.24,-0.24,354.68953444351985,334.03201957384556,378.8913379164061,0.02395685709069313,61,1.0,0.4005,ranges
2,Under-0.26,-0.26,351.1599634131184,329.3876930177214,375.87199874059564,0.022841557911594496,61,1.0,0.4005,ranges
2,Under-0.28,-0.28,346.9708101312699,328.0726425950289,373.62329473654626,0.024720253423812736,61,1.0,0.4005,ranges
2,Under-0.30,-0.3,346.9708101312699,325.4582714464405,372.1316376950533,0.023441667198744055,61,1.0,0.4005,ranges
2,Under-0.32,-0.32,344.895011315065,326.7628423916097,372.1316376950533,0.02515976803286942,61,1.0,0.4005,ranges
2,Under-0.34,-0.34,344.2058417747671,321.57572580347204,368.42849756726486,0.027780236729708856,61,0.9836065573770492,0.4005,ranges
2,Under-0.36,-0.36,351.15996341311836,330.70801470473015,378.134236883894,0.02599377224620116,61,0.9836065573770492,0.4005,ranges
2,Under-0.38,-0.38,346.27749272779954,326.76284239160964,372.8767203129377,0.024761333284719887,61,0.9836065573770492,0.4005,ranges
2,Under-0.40,-0.4,352.5675573370318,330.0471936345798,378.89133791640603,0.02494006609497563,61,0.9836065573770492,0.4005,ranges
2,Under-0.42,-0.42,347.6655156960624,324.80794041827176,374.3713639527762,0.02690555809897314,61,0.9836065573770492,0.4005,ranges
2,Under-0.44,-0.44,351.15996341311836,332.0336287854569,375.8719987405955,0.02793802303318931,61,0.9836065573770492,0.4005,ranges
2,Under-0.46,-0.46,353.9807934777726,332.6984270995518,378.89133791640603,0.02777855999634194,61,0.9836065573770492,0.4005,ranges
2,Under-0.48,-0.48,356.11127634343876,337.3894346050329,381.93493111775916,0.028128768352744263,61,0.9836065573770492,0.4005,ranges
2,Under-0.50,-0.5,351.8630565079609,335.37095763664405,382.6996419069335,0.024866742045490605,61,0.9836065573770492,0.4005,ranges
3,Over-0.50,0.5,1485.3208229458883,1387.6670983474569,1612.2633385547701,0.01782361049516723,55,1.0,0.3808,ranges
3,Over-0.48,0.48,1464.6691652060927,1387.6670983474569,1570.8806597401679,0.01725423508475495,55,1.0,0.3808,ranges
3,Over-0.46,0.46,1447.1964340307954,1362.910096396854,1567.741724508815,0.015986644051738254,55,1.0,0.3808,ranges
3,Over-0.44,0.44,1429.9321433292741,1346.6512972795192,1549.0393920262497,0.017188709769503097,55,1.0,0.3808,ranges
3,Over-0.42,0.42,1412.873806516542,1333.2505596051237,1503.2538490632373,0.01634299547775174,55,1.0,0.3808,ranges
3,Over-0.40,0.4,1398.8140782955813,1317.3455831294177,1509.2795103130977,0.01706641177432617,55,1.0,0.3808,ranges
