sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
1,Species richness,3279.5624012071457,3039.52848104706,3574.1185992689125,0.010084614468014792,0.4021,layers,3039.52848104706,3574.1185992689125
1,Realized interactions,190.41019188810958,178.96217114637267,203.40259678254895,0.01024665322160802,0.4021,layers,178.96217114637267,203.40259678254895
1,Probabilistic range,2600.4559548677676,2400.504193965931,2755.758156006931,0.00940685292963832,0.4021,layers,2400.504193965931,2755.758156006931
1,Focal species range,1354.756306273633,1265.6866607216082,1452.9973940475668,0.012187102660482639,0.4021,layers,1265.6866607216082,1452.9973940475668
2,Species richness,987.6666738815171,930.143863026667,1059.2880038217118,0.013695455361453102,0.4005,layers,930.143863026667,1059.2880038217118
2,Realized interactions,169.21478896256855,158.406141053913,181.8488866914689,0.022179888554984678,0.4005,layers,158.406141053913,181.8488866914689
2,Probabilistic range,775.3550579967167,718.6061716152882,826.6054244584506,0.01198788395487079,0.4005,layers,718.6061716152882,826.6054244584506
2,Focal species range,382.6996419069335,357.53871717110684,407.18053309383504,0.017160250179072942,0.4005,layers,357.53871717110684,407.18053309383504
3,Species richness,2543.8650474611945,2367.1279763495822,2722.88341365017,0.01156588590573218,0.3808,layers,2367.1279763495822,2722.88341365017
3,Realized interactions,258.0648868679388,239.17690155996613,277.3328067765726,0.019069477961100763,0.3808,layers,239.17690155996613,277.3328067765726
3,Probabilistic range,1862.004123802076,1750.054959636472,2001.027091096822,0.014806088919044334,0.3808,layers,1750.054959636472,2001.027091096822
3,Focal species range,1074.223836310353,1011.6598395835953,1140.6569731702596,0.020767046914109945,0.3808,layers,1011.6598395835953,1140.6569731702596
4,Species richness,2238.1996060931497,2074.383901487699,2357.677433078382,0.014827167262135598,0.8611,layers,2074.383901487699,2357.677433078382
4,Realized interactions,260.6587427841994,242.54926688834126,276.7786400977708,0.00975856385698101,0.8611,layers,242.54926688834126,276.7786400977708
4,Probabilistic range,2074.383901487699,1941.8819768271796,2211.499064453483,0.012730504896810806,0.8611,layers,1941.8819768271796,2211.499064453483
4,Focal species range,1926.4073545788144,1796.1577376250393,2066.102112324647,0.012374909662911809,0.8611,layers,1796.1577376250393,2066.102112324647
5,Species richness,364.03333977447653,340.099647498839,386.5462238358391,0.01756096131237537,0.6814,layers,340.099647498839,386.5462238358391
5,Realized interactions,143.33037021804768,136.33938380918775,154.6492806529923,0.011927410703126837,0.6814,layers,136.33938380918775,154.6492806529923
5,Probabilistic range,324.8079404182718,304.6695219134291,344.895011315065,0.019434364679908687,0.6814,layers,304.6695219134291,344.895011315065
5,Focal species range,263.2786700059988,244.49763895658185,277.8880830088705,0.017586665423645564,0.6814,layers,244.49763895658185,277.8880830088705
6,Species richness,478.79515709936027,441.0969348238203,514.5434793589217,0.015474354344449959,0.6245,layers,441.0969348238203,514.5434793589217
6,Realized interactions,112.51966928919262,103.86791498112515,120.67911069997945,0.026020065044588613,0.6245,layers,103.86791498112515,120.67911069997945
6,Probabilistic range,370.64593595870525,342.83163124014726,398.31950401047806,0.01905478459675065,0.6245,layers,342.83163124014726,398.31950401047806
6,Focal species range,282.9358670346015,264.33399947065203,301.03497509551266,0.021947790150992574,0.6245,layers,264.33399947065203,301.03497509551266
7,Species richness,210.01741392436182,195.42628509994896,224.79688280754593,0.010211002382233747,0.859,layers,195.42628509994896,224.79688280754593
7,Realized interactions,109.19388288315069,103.0402041484183,117.34663475668216,0.006793708868316105,0.859,layers,103.0402041484183,117.34663475668216
7,Probabilistic range,191.93973639732448,179.6795253181513,205.8583787416301,0.00795581914875613,0.859,layers,179.6795253181513,205.8583787416301
7,Focal species range,183.30965916056644,173.67251859269655,197.39054932803356,0.008824334721121502,0.859,layers,173.67251859269655,197.39054932803356
