sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
1,Uncertainty Sampling,1354.756306273633,1265.6866607216082,1452.9973940475668,0.012187102660482639,0.4021,samplers,1265.6866607216082,1452.9973940475668
1,Weighted Balanced Acceptance,2120.5307155303403,1965.3272956224707,2269.7579493125136,0.010511394190562117,0.4021,samplers,1965.3272956224707,2269.7579493125136
1,Balanced Acceptance,3345.8206487167317,3100.9372319022063,3602.8291080110416,0.009664464831872267,0.4021,samplers,3100.9372319022063,3602.8291080110416
1,Balanced Mask,1296.4337038087856,1220.9279560680316,1401.6147862973141,0.010343357709061429,0.4021,samplers,1220.9279560680316,1401.6147862973141
2,Uncertainty Sampling,382.6996419069335,357.53871717110684,407.18053309383504,0.017160250179072942,0.4005,samplers,357.53871717110684,407.18053309383504
2,Weighted Balanced Acceptance,609.9012515694544,574.379921082227,642.4585248415576,0.014261989127455004,0.4005,samplers,574.379921082227,642.4585248415576
2,Balanced Acceptance,964.2425452983223,908.0839818698192,1023.8741181723387,0.011761830825256087,0.4005,samplers,908.0839818698192,1023.8741181723387
2,Balanced Mask,368.42849756726486,345.58556071182517,388.09566048201725,0.017370524298076347,0.4005,samplers,345.58556071182517,388.09566048201725
3,Uncertainty Sampling,1074.223836310353,1011.6598395835953,1140.6569731702596,0.020767046914109945,0.3808,samplers,1011.6598395835953,1140.6569731702596
3,Weighted Balanced Acceptance,1628.4684831214586,1521.403389633729,1711.970408351601,0.016034932929198092,0.3808,samplers,1521.403389633729,1711.970408351601
3,Balanced Acceptance,2449.0024939138248,2269.7579493125136,2605.662592343007,0.009893104742264867,0.3808,samplers,2269.7579493125136,2605.662592343007
3,Balanced Mask,1038.3106191648053,975.8843310197395,1095.9267893630997,0.018664238802202592,0.3808,samplers,975.8843310197395,1095.9267893630997
4,Uncertainty Sampling,1926.4073545788144,1796.1577376250393,2066.102112324647,0.012374909662911809,0.8611,samplers,1796.1577376250393,2066.102112324647
4,Weighted Balanced Acceptance,1953.5694648350197,1821.4833440659354,2074.383901487699,0.013153841567990791,0.8611,samplers,1821.4833440659354,2074.383901487699
4,Balanced Acceptance,2220.363664550856,2061.9736251147856,2348.264620242124,0.013382404991414461,0.8611,samplers,2061.9736251147856,2348.264620242124
4,Balanced Mask,1911.0560477206668,1792.5686535219659,2041.4546030802721,0.014029196296424754,0.8611,samplers,1792.5686535219659,2041.4546030802721
5,Uncertainty Sampling,263.2786700059988,244.49763895658185,277.8880830088705,0.017586665423645564,0.6814,samplers,244.49763895658185,277.8880830088705
5,Weighted Balanced Acceptance,287.4997106692768,268.5977891893481,305.2795317647352,0.017774824291131242,0.6814,samplers,268.5977891893481,305.2795317647352
5,Balanced Acceptance,368.42849756726486,344.2058417747672,392.78133478748504,0.017819866369355633,0.6814,samplers,344.2058417747672,392.78133478748504
5,Balanced Mask,254.47679489755518,235.8514250474339,269.1355761541075,0.017051346405681296,0.6814,samplers,235.8514250474339,269.1355761541075
6,Uncertainty Sampling,282.9358670346015,264.33399947065203,301.03497509551266,0.021947790150992574,0.6245,samplers,264.33399947065203,301.03497509551266
6,Weighted Balanced Acceptance,339.42006005908854,316.4709508252373,360.410787075863,0.017727677662229636,0.6245,samplers,316.4709508252373,360.410787075863
6,Balanced Acceptance,466.5057092589161,436.70751023818724,494.365963287168,0.014112499888597653,0.6245,samplers,436.70751023818724,494.365963287168
6,Balanced Mask,277.3328067765726,256.5209795102512,294.4838768660348,0.020190355662171904,0.6245,samplers,256.5209795102512,294.4838768660348
7,Uncertainty Sampling,183.30965916056644,173.67251859269655,197.39054932803356,0.008824334721121502,0.859,samplers,173.67251859269655,197.39054932803356
7,Weighted Balanced Acceptance,185.1521370338334,173.67251859269655,198.97616629476082,0.009551414067527329,0.859,samplers,173.67251859269655,198.97616629476082
7,Balanced Acceptance,210.85925031391682,200.17373215363702,226.6026518915294,0.010127830861204182,0.859,samplers,200.17373215363702,226.6026518915294
7,Balanced Mask,182.577812009405,170.91559679735911,193.0949525196948,0.010524498364779006,0.859,samplers,170.91559679735911,193.0949525196948
8,Uncertainty Sampling,4062.2272273703343,3682.9777655259677,4383.024460246025,0.009887483136757429,0.4049,samplers,3682.9777655259677,4383.024460246025
8,Weighted Balanced Acceptance,6435.164512376245,5764.776617201964,7112.027799145732,0.009608346065027622,0.4049,samplers,5764.776617201964,7112.027799145732
8,Balanced Acceptance,9833.744724678807,8531.844788814771,11065.493929250926,0.009386730569349602,0.4049,samplers,8531.844788814771,11065.493929250926
8,Balanced Mask,3926.419732153889,3690.3518300697515,4261.990061766193,0.010843893944084743,0.4049,samplers,3690.3518300697515,4261.990061766193
9,Uncertainty Sampling,518.6767515635321,487.4923798065556,545.2726039098155,0.02086164647299113,0.2472,samplers,487.4923798065556,545.2726039098155
