sim,variable,eff,eff_low,eff_upp,rmse,occ,set,deg,rank,eff_confint_upp,eff_confint_low
1,node_55,3305.9067718190963,3070.079320523488,3675.6184358449896,0.009940795925508351,0.4981,species,57,1,3070.079320523488,3675.6184358449896
1,node_71,1470.5401631337872,1349.3475648695826,1634.996056253221,0.01404230158566168,0.6931,species,32,2,1349.3475648695826,1634.996056253221
1,node_13,5673.265084865124,5011.58585768882,6888.023691487396,0.017977326461114704,0.7957,species,20,3,5011.58585768882,6888.023691487396
1,node_5,26733.563080779742,10421.027196556306,1.3076069489888446e7,0.054522684640119626,0.6274,species,6,4,10421.027196556306,1.3076069489888446e7
2,node_65,970.0459737864086,911.7239568910576,1048.7468632238995,0.011928144864664722,0.5334,species,61,1,911.7239568910576,1048.7468632238995
2,node_35,2805.8159772997797,2600.4559548677676,3182.627135394481,0.014467399301466942,0.2025,species,31,2,2600.4559548677676,3182.627135394481
2,node_15,21974.885173895742,18099.436701278508,33513.30159204824,0.022079331501565033,0.4073,species,13,3,18099.436701278508,33513.30159204824
2,node_73,31184.937997222285,17354.930000091597,142036.8934541706,0.03349926447530002,0.7544,species,10,4,17354.930000091597,142036.8934541706
3,node_62,2453.905891003822,2287.990669810254,2652.993956349914,0.013236416269025636,0.6219,species,55,1,2287.990669810254,2652.993956349914
3,node_22,603.832028827028,559.6370566733591,656.7506787937336,0.02471063399207932,0.4643,species,37,2,559.6370566733591,656.7506787937336
3,node_8,10631.567175621605,9391.5956517799,14937.302597749405,0.022780130726235515,0.9205,species,14,3,9391.5956517799,14937.302597749405
3,node_60,1561.482658183051,1387.6670983474569,1880.719457264302,0.03116174956668424,0.5221,species,15,4,1387.6670983474569,1880.719457264302
4,node_61,2193.8758962932125,2070.23886559884,2371.8674441368676,0.012762934509910943,0.3718,species,55,1,2070.23886559884,2371.8674441368676
4,node_45,2439.2250740737272,2269.7579493125136,2679.659668810841,0.021260402832811085,0.0697,species,33,2,2269.7579493125136,2679.659668810841
4,node_9,2116.2934690336892,1858.283465387388,2400.504193965931,0.024035164424154404,0.2137,species,20,3,1858.283465387388,2400.504193965931
4,node_4,477.83842816014914,406.3669045645607,552.9608815484368,0.03021608116726516,0.4317,species,12,4,406.3669045645607,552.9608815484368
5,node_65,368.42849756726486,343.5180493337017,395.14534413244604,0.017760172949414718,0.5024,species,67,1,343.5180493337017,395.14534413244604
5,node_19,4892.727912350973,4313.447213587398,5718.837810641138,0.01599009012865433,0.6676,species,26,2,4313.447213587398,5718.837810641138
5,node_11,4525.563964614372,4046.0091544257007,5342.847786158859,0.018116177247117792,0.2261,species,25,3,4046.0091544257007,5342.847786158859
5,node_66,879.4824988916437,787.8617765090737,1015.7149893490297,0.028657208153581144,0.6814,species,14,4,787.8617765090737,1015.7149893490297
6,node_62,465.5735371060913,439.33589540770225,502.3402402086314,0.015933517505737464,0.3335,species,59,1,439.33589540770225,502.3402402086314
