sim,set,sp,type,sampler,layer,offset,nbon,low,med,upp,deg,confint_low,confint_upp,pmax
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,1,0.0,0.0,0.017543859649122806,57,0.0,0.0,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,15,0.0,0.02631578947368421,0.062280701754385916,57,0.017543859649122806,0.03508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,30,0.017543859649122806,0.05263157894736842,0.10526315789473684,57,0.05263157894736842,0.07017543859649122,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,45,0.03508771929824561,0.07017543859649122,0.13245614035087713,57,0.07017543859649122,0.08771929824561403,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,60,0.05263157894736842,0.08771929824561403,0.19298245614035087,57,0.08771929824561403,0.10526315789473684,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,75,0.0780701754385965,0.12280701754385964,0.21052631578947367,57,0.12280701754385964,0.14035087719298245,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,90,0.0780701754385965,0.15789473684210525,0.22807017543859648,57,0.14035087719298245,0.17543859649122806,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,105,0.12280701754385964,0.19298245614035087,0.2552631578947368,57,0.17543859649122806,0.21052631578947367,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,120,0.12280701754385964,0.15789473684210525,0.2552631578947368,57,0.15789473684210525,0.17543859649122806,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,135,0.14035087719298245,0.21052631578947367,0.2903508771929824,57,0.19298245614035087,0.21052631578947367,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,150,0.1482456140350877,0.22807017543859648,0.3271929824561402,57,0.22807017543859648,0.24561403508771928,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,165,0.18333333333333332,0.2631578947368421,0.3333333333333333,57,0.24561403508771928,0.2631578947368421,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,180,0.16578947368421051,0.24561403508771928,0.3508771929824561,57,0.22807017543859648,0.2807017543859649,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,195,0.19298245614035087,0.2807017543859649,0.3684210526315789,57,0.2631578947368421,0.2982456140350877,1.0
