sim,set,variable,nbon,low,med,upp,deg,sp,type,sampler
1,samplers,Balanced Mask,1,0.0,0.0,0.017543859649122806,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,10,0.0,0.03508771929824561,0.08771929824561403,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,20,0.017543859649122806,0.05263157894736842,0.10526315789473684,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,30,0.03508771929824561,0.08771929824561403,0.12280701754385964,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,40,0.03508771929824561,0.12280701754385964,0.15789473684210525,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,50,0.07017543859649122,0.12280701754385964,0.20263157894736838,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,60,0.0780701754385965,0.14035087719298245,0.2201754385964912,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,70,0.0780701754385965,0.16666666666666666,0.2552631578947368,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,80,0.10526315789473684,0.19298245614035087,0.2552631578947368,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,90,0.14035087719298245,0.22807017543859648,0.2807017543859649,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,100,0.17543859649122806,0.22807017543859648,0.3078947368421052,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,110,0.14035087719298245,0.22807017543859648,0.325438596491228,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,120,0.18333333333333332,0.2631578947368421,0.3684210526315789,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,130,0.17543859649122806,0.2807017543859649,0.36052631578947364,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,140,0.21052631578947367,0.30701754385964913,0.38596491228070173,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,150,0.1991228070175439,0.3157894736842105,0.40350877192982454,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,160,0.24561403508771928,0.34210526315789475,0.45614035087719296,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,170,0.2631578947368421,0.3157894736842105,0.42105263157894735,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,180,0.2631578947368421,0.3508771929824561,0.45614035087719296,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,190,0.2631578947368421,0.3684210526315789,0.4657894736842105,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,200,0.3157894736842105,0.37719298245614036,0.45614035087719296,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,210,0.2631578947368421,0.38596491228070173,0.4929824561403508,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,220,0.2982456140350877,0.40350877192982454,0.47368421052631576,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,230,0.30614035087719305,0.40350877192982454,0.5008771929824561,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,240,0.3333333333333333,0.43859649122807015,0.49122807017543857,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,250,0.33157894736842103,0.42105263157894735,0.5359649122807018,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,260,0.3412280701754386,0.4473684210526316,0.5263157894736842,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,270,0.3508771929824561,0.47368421052631576,0.5263157894736842,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,280,0.3333333333333333,0.45614035087719296,0.543859649122807,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,290,0.3684210526315789,0.47368421052631576,0.5535087719298245,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,300,0.38596491228070173,0.47368421052631576,0.5614035087719298,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,310,0.38596491228070173,0.47368421052631576,0.5535087719298245,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,320,0.4114035087719298,0.5087719298245614,0.5885964912280701,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,330,0.42105263157894735,0.5087719298245614,0.5789473684210527,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,340,0.42105263157894735,0.5175438596491229,0.5964912280701754,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,350,0.4464912280701755,0.5175438596491229,0.5885964912280701,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,360,0.42894736842105263,0.5263157894736842,0.5964912280701754,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,370,0.43859649122807015,0.5263157894736842,0.6140350877192983,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,380,0.43859649122807015,0.543859649122807,0.6140350877192983,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,390,0.47368421052631576,0.5526315789473685,0.631578947368421,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,400,0.45614035087719296,0.5701754385964912,0.6236842105263157,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,410,0.47368421052631576,0.5614035087719298,0.631578947368421,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,420,0.48157894736842105,0.5789473684210527,0.6763157894736842,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,430,0.49912280701754386,0.5877192982456141,0.6587719298245613,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,440,0.5263157894736842,0.5877192982456141,0.6666666666666666,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,450,0.48157894736842105,0.5789473684210527,0.693859649122807,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,460,0.49912280701754386,0.5789473684210527,0.6587719298245613,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,470,0.5166666666666667,0.5964912280701754,0.6666666666666666,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,480,0.5263157894736842,0.6052631578947368,0.6763157894736842,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,490,0.5263157894736842,0.6052631578947368,0.693859649122807,57,node_55,realized,Balanced Mask
1,samplers,Balanced Mask,500,0.5342105263157895,0.6140350877192983,0.6763157894736842,57,node_55,realized,Balanced Mask
1,samplers,Uncertainty Sampling,1,0.0,0.0,0.017543859649122806,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,10,0.0,0.017543859649122806,0.062280701754385916,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,20,0.017543859649122806,0.05263157894736842,0.12280701754385964,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,30,0.03508771929824561,0.07017543859649122,0.12280701754385964,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,40,0.05263157894736842,0.10526315789473684,0.17543859649122806,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,50,0.05263157894736842,0.12280701754385964,0.21052631578947367,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,60,0.0956140350877193,0.17543859649122806,0.21052631578947367,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,70,0.10526315789473684,0.17543859649122806,0.24561403508771928,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,80,0.14035087719298245,0.19298245614035087,0.2903508771929824,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,90,0.1307017543859649,0.18421052631578946,0.2631578947368421,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,100,0.15789473684210525,0.22807017543859648,0.3157894736842105,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,110,0.17543859649122806,0.24561403508771928,0.34298245614035083,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,120,0.18333333333333332,0.2543859649122807,0.3508771929824561,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,130,0.16578947368421051,0.2631578947368421,0.3333333333333333,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,140,0.22807017543859648,0.2807017543859649,0.3684210526315789,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,150,0.21052631578947367,0.3157894736842105,0.40350877192982454,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,160,0.22807017543859648,0.32456140350877194,0.41315789473684206,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,170,0.2535087719298246,0.3157894736842105,0.42105263157894735,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,180,0.2807017543859649,0.3508771929824561,0.42105263157894735,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,190,0.2631578947368421,0.3508771929824561,0.42105263157894735,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,200,0.2982456140350877,0.37719298245614036,0.45614035087719296,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,210,0.2982456140350877,0.3508771929824561,0.43859649122807015,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,220,0.30614035087719305,0.38596491228070173,0.5008771929824561,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,230,0.3333333333333333,0.40350877192982454,0.5008771929824561,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,240,0.3157894736842105,0.42105263157894735,0.49122807017543857,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,250,0.3684210526315789,0.4298245614035088,0.5087719298245614,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,260,0.3587719298245614,0.45614035087719296,0.5535087719298245,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,270,0.3157894736842105,0.4473684210526316,0.5263157894736842,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,280,0.3684210526315789,0.45614035087719296,0.5280701754385964,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,290,0.32368421052631585,0.4473684210526316,0.5359649122807018,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,300,0.3684210526315789,0.49122807017543857,0.5789473684210527,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,310,0.40350877192982454,0.49122807017543857,0.543859649122807,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,320,0.38596491228070173,0.49122807017543857,0.5614035087719298,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,330,0.37631578947368427,0.49122807017543857,0.5789473684210527,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,340,0.4114035087719298,0.4824561403508772,0.5885964912280701,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,350,0.42894736842105263,0.5087719298245614,0.5789473684210527,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,360,0.40350877192982454,0.5087719298245614,0.6236842105263157,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,370,0.42105263157894735,0.5087719298245614,0.5885964912280701,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,380,0.4464912280701755,0.543859649122807,0.6140350877192983,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,390,0.45614035087719296,0.543859649122807,0.5964912280701754,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,400,0.45614035087719296,0.5614035087719298,0.631578947368421,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,410,0.47368421052631576,0.543859649122807,0.6412280701754386,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,420,0.4464912280701755,0.5789473684210527,0.6491228070175439,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,430,0.47368421052631576,0.543859649122807,0.6491228070175439,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,440,0.48157894736842105,0.5789473684210527,0.6491228070175439,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,450,0.48157894736842105,0.5614035087719298,0.6412280701754386,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,460,0.49122807017543857,0.5701754385964912,0.6491228070175439,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,470,0.49912280701754386,0.5789473684210527,0.6842105263157895,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,480,0.5263157894736842,0.5877192982456141,0.6412280701754386,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,490,0.5087719298245614,0.5964912280701754,0.6842105263157895,57,node_55,realized,Uncertainty Sampling
1,samplers,Uncertainty Sampling,500,0.5087719298245614,0.5964912280701754,0.6666666666666666,57,node_55,realized,Uncertainty Sampling
1,samplers,Weighted Balanced Acceptance,1,0.0,0.0,0.009649122807017494,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,10,0.0,0.017543859649122806,0.05263157894736842,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,20,0.0,0.03508771929824561,0.07982456140350873,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,30,0.0,0.05263157894736842,0.10526315789473684,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,40,0.025438596491228073,0.07017543859649122,0.12280701754385964,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,50,0.03508771929824561,0.08771929824561403,0.12280701754385964,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,60,0.05263157894736842,0.10526315789473684,0.15789473684210525,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,70,0.08771929824561403,0.12280701754385964,0.17543859649122806,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,80,0.060526315789473685,0.12280701754385964,0.20263157894736838,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,90,0.0780701754385965,0.14035087719298245,0.22192982456140337,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,100,0.05263157894736842,0.14912280701754385,0.237719298245614,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,110,0.10526315789473684,0.16666666666666666,0.22807017543859648,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,120,0.0956140350877193,0.18421052631578946,0.24561403508771928,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,130,0.10526315789473684,0.19298245614035087,0.2807017543859649,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,140,0.12280701754385964,0.19298245614035087,0.2552631578947368,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,150,0.14035087719298245,0.21052631578947367,0.2807017543859649,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,160,0.15789473684210525,0.22807017543859648,0.3078947368421052,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,170,0.18333333333333332,0.24561403508771928,0.36052631578947364,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,180,0.17543859649122806,0.24561403508771928,0.2982456140350877,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,190,0.17543859649122806,0.2543859649122807,0.3508771929824561,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,200,0.16578947368421051,0.2719298245614035,0.3684210526315789,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,210,0.20087719298245613,0.2982456140350877,0.37807017543859645,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,220,0.21052631578947367,0.2982456140350877,0.37807017543859645,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,230,0.22807017543859648,0.2982456140350877,0.38596491228070173,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,240,0.24561403508771928,0.2982456140350877,0.40350877192982454,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,250,0.24385964912280703,0.3157894736842105,0.42105263157894735,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,260,0.22807017543859648,0.3333333333333333,0.40350877192982454,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,270,0.23596491228070174,0.3157894736842105,0.43070175438596486,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,280,0.2807017543859649,0.3333333333333333,0.44824561403508767,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,290,0.24561403508771928,0.3508771929824561,0.43070175438596486,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,300,0.2631578947368421,0.3508771929824561,0.45614035087719296,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,310,0.2631578947368421,0.3684210526315789,0.44824561403508767,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,320,0.3157894736842105,0.38596491228070173,0.4833333333333333,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,330,0.2807017543859649,0.37719298245614036,0.44824561403508767,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,340,0.3157894736842105,0.38596491228070173,0.475438596491228,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,350,0.2982456140350877,0.42105263157894735,0.49122807017543857,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,360,0.32368421052631585,0.40350877192982454,0.5087719298245614,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,370,0.3333333333333333,0.42105263157894735,0.49122807017543857,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,380,0.3412280701754386,0.40350877192982454,0.543859649122807,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,390,0.3587719298245614,0.43859649122807015,0.5263157894736842,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,400,0.3587719298245614,0.43859649122807015,0.5087719298245614,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,410,0.3508771929824561,0.47368421052631576,0.5263157894736842,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,420,0.3508771929824561,0.43859649122807015,0.49122807017543857,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,430,0.3333333333333333,0.43859649122807015,0.5280701754385964,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,440,0.38596491228070173,0.45614035087719296,0.5535087719298245,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,450,0.38596491228070173,0.47368421052631576,0.543859649122807,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,460,0.3938596491228071,0.47368421052631576,0.5535087719298245,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,470,0.40175438596491225,0.47368421052631576,0.5614035087719298,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,480,0.3938596491228071,0.45614035087719296,0.5263157894736842,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,490,0.38596491228070173,0.49122807017543857,0.5535087719298245,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Weighted Balanced Acceptance,500,0.3938596491228071,0.4824561403508772,0.5885964912280701,57,node_55,realized,Weighted Balanced Acceptance
1,samplers,Balanced Acceptance,1,0.0,0.0,0.009649122807017494,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,10,0.0,0.0,0.03508771929824561,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,20,0.0,0.017543859649122806,0.05263157894736842,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,30,0.0,0.03508771929824561,0.07017543859649122,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,40,0.007894736842105267,0.05263157894736842,0.08771929824561403,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,50,0.017543859649122806,0.05263157894736842,0.10526315789473684,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,60,0.017543859649122806,0.07017543859649122,0.12456140350877183,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,70,0.017543859649122806,0.07017543859649122,0.14035087719298245,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,80,0.025438596491228073,0.08771929824561403,0.15789473684210525,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,90,0.03508771929824561,0.07017543859649122,0.16754385964912274,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,100,0.05263157894736842,0.10526315789473684,0.17543859649122806,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,110,0.060526315789473685,0.10526315789473684,0.17543859649122806,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,120,0.060526315789473685,0.11403508771929824,0.17543859649122806,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,130,0.0780701754385965,0.14035087719298245,0.20263157894736838,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,140,0.060526315789473685,0.14035087719298245,0.2201754385964912,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,150,0.07017543859649122,0.14035087719298245,0.22807017543859648,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,160,0.08771929824561403,0.14035087719298245,0.24561403508771928,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,170,0.08771929824561403,0.14912280701754385,0.21052631578947367,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,180,0.0956140350877193,0.18421052631578946,0.24561403508771928,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,190,0.10526315789473684,0.17543859649122806,0.24561403508771928,57,node_55,realized,Balanced Acceptance
1,samplers,Balanced Acceptance,200,0.10526315789473684,0.19298245614035087,0.2903508771929824,57,node_55,realized,Balanced Acceptance
