sp,var,sampler,nbon,low,med,upp,deg
node_55,possible,BalancedAcceptance,1,0,29.0,31,61
node_55,possible,BalancedAcceptance,2,0,0.0,49,61
node_55,possible,BalancedAcceptance,3,33,36.0,51,61
node_55,possible,BalancedAcceptance,4,0,36.0,52,61
node_55,possible,BalancedAcceptance,5,43,48.0,54,61
node_55,possible,BalancedAcceptance,6,29,48.0,55,61
node_55,possible,BalancedAcceptance,7,39,53.0,54,61
node_55,possible,BalancedAcceptance,8,54,58.0,61,61
node_55,possible,BalancedAcceptance,9,46,49.0,60,61
node_55,possible,BalancedAcceptance,10,47,52.0,56,61
node_55,possible,BalancedAcceptance,11,54,56.0,60,61
node_55,possible,BalancedAcceptance,12,52,56.0,59,61
node_55,possible,BalancedAcceptance,13,50,56.0,61,61
node_55,possible,BalancedAcceptance,14,48,56.0,58,61
node_55,possible,BalancedAcceptance,15,53,59.0,61,61
node_55,possible,BalancedAcceptance,16,56,58.0,60,61
node_55,possible,BalancedAcceptance,17,59,61.0,61,61
node_55,possible,BalancedAcceptance,18,58,60.0,61,61
node_55,possible,BalancedAcceptance,19,55,57.0,60,61
node_55,possible,BalancedAcceptance,20,59,61.0,61,61
node_55,possible,BalancedAcceptance,21,59,61.0,61,61
node_55,possible,BalancedAcceptance,22,56,58.0,60,61
node_55,possible,BalancedAcceptance,23,58,60.0,61,61
node_55,possible,BalancedAcceptance,24,58,60.0,61,61
node_55,possible,BalancedAcceptance,25,59,61.0,61,61
node_55,possible,BalancedAcceptance,26,59,61.0,61,61
node_55,possible,BalancedAcceptance,27,60,61.0,61,61
node_55,possible,BalancedAcceptance,28,57,61.0,61,61
node_55,possible,BalancedAcceptance,29,59,61.0,61,61
node_55,possible,BalancedAcceptance,30,56,61.0,61,61
node_55,possible,BalancedAcceptance,31,59,61.0,61,61
node_55,possible,BalancedAcceptance,32,60,61.0,61,61
node_55,possible,BalancedAcceptance,33,61,61.0,61,61
node_55,possible,BalancedAcceptance,34,60,61.0,61,61
node_55,possible,BalancedAcceptance,35,61,61.0,61,61
node_55,possible,BalancedAcceptance,36,60,61.0,61,61
node_55,possible,BalancedAcceptance,37,61,61.0,61,61
node_55,possible,BalancedAcceptance,38,58,61.0,61,61
node_55,possible,BalancedAcceptance,39,59,61.0,61,61
node_55,possible,BalancedAcceptance,40,60,61.0,61,61
node_55,possible,BalancedAcceptance,41,61,61.0,61,61
node_55,possible,BalancedAcceptance,42,59,61.0,61,61
node_55,possible,BalancedAcceptance,43,61,61.0,61,61
node_55,possible,BalancedAcceptance,44,61,61.0,61,61
node_55,possible,BalancedAcceptance,45,61,61.0,61,61
node_55,possible,BalancedAcceptance,46,61,61.0,61,61
node_55,possible,BalancedAcceptance,47,61,61.0,61,61
node_55,possible,BalancedAcceptance,48,60,61.0,61,61
node_55,possible,BalancedAcceptance,49,61,61.0,61,61
node_55,possible,BalancedAcceptance,50,61,61.0,61,61
node_55,possible,BalancedAcceptance,51,61,61.0,61,61
node_55,possible,BalancedAcceptance,52,61,61.0,61,61
node_55,possible,BalancedAcceptance,53,61,61.0,61,61
node_55,possible,BalancedAcceptance,54,61,61.0,61,61
node_55,possible,BalancedAcceptance,55,61,61.0,61,61
node_55,possible,BalancedAcceptance,56,61,61.0,61,61
node_55,possible,BalancedAcceptance,57,61,61.0,61,61
node_55,possible,BalancedAcceptance,58,61,61.0,61,61
node_55,possible,BalancedAcceptance,59,61,61.0,61,61
node_55,possible,BalancedAcceptance,60,61,61.0,61,61
node_55,possible,BalancedAcceptance,61,61,61.0,61,61
node_55,possible,BalancedAcceptance,62,61,61.0,61,61
node_55,possible,BalancedAcceptance,63,61,61.0,61,61
node_55,possible,BalancedAcceptance,64,61,61.0,61,61
node_55,possible,BalancedAcceptance,65,61,61.0,61,61
node_55,possible,BalancedAcceptance,66,61,61.0,61,61
node_55,possible,BalancedAcceptance,67,61,61.0,61,61
node_55,possible,BalancedAcceptance,68,61,61.0,61,61
node_55,possible,BalancedAcceptance,69,60,61.0,61,61
node_55,possible,BalancedAcceptance,70,61,61.0,61,61
node_55,possible,BalancedAcceptance,71,61,61.0,61,61
node_55,possible,BalancedAcceptance,72,61,61.0,61,61
node_55,possible,BalancedAcceptance,73,61,61.0,61,61
node_55,possible,BalancedAcceptance,74,61,61.0,61,61
node_55,possible,BalancedAcceptance,75,61,61.0,61,61
node_55,possible,BalancedAcceptance,76,61,61.0,61,61
node_55,possible,BalancedAcceptance,77,61,61.0,61,61
node_55,possible,BalancedAcceptance,78,61,61.0,61,61
node_55,possible,BalancedAcceptance,79,61,61.0,61,61
node_55,possible,BalancedAcceptance,80,61,61.0,61,61
node_55,possible,BalancedAcceptance,81,61,61.0,61,61
node_55,possible,BalancedAcceptance,82,61,61.0,61,61
node_55,possible,BalancedAcceptance,83,61,61.0,61,61
node_55,possible,BalancedAcceptance,84,61,61.0,61,61
node_55,possible,BalancedAcceptance,85,61,61.0,61,61
node_55,possible,BalancedAcceptance,86,61,61.0,61,61
node_55,possible,BalancedAcceptance,87,61,61.0,61,61
node_55,possible,BalancedAcceptance,88,61,61.0,61,61
node_55,possible,BalancedAcceptance,89,61,61.0,61,61
node_55,possible,BalancedAcceptance,90,61,61.0,61,61
node_55,possible,BalancedAcceptance,91,61,61.0,61,61
node_55,possible,BalancedAcceptance,92,61,61.0,61,61
node_55,possible,BalancedAcceptance,93,61,61.0,61,61
node_55,possible,BalancedAcceptance,94,61,61.0,61,61
node_55,possible,BalancedAcceptance,95,61,61.0,61,61
node_55,possible,BalancedAcceptance,96,61,61.0,61,61
node_55,possible,BalancedAcceptance,97,61,61.0,61,61
node_55,possible,BalancedAcceptance,98,61,61.0,61,61
node_55,possible,BalancedAcceptance,99,61,61.0,61,61
node_55,possible,BalancedAcceptance,100,61,61.0,61,61
node_55,realized,BalancedAcceptance,1,0,0.0,0,57
node_55,realized,BalancedAcceptance,2,0,0.0,1,57
node_55,realized,BalancedAcceptance,3,0,0.0,1,57
node_55,realized,BalancedAcceptance,4,0,2.0,2,57
node_55,realized,BalancedAcceptance,5,0,0.0,1,57
node_55,realized,BalancedAcceptance,6,0,1.0,3,57
node_55,realized,BalancedAcceptance,7,0,0.0,2,57
node_55,realized,BalancedAcceptance,8,0,0.0,1,57
node_55,realized,BalancedAcceptance,9,0,0.0,0,57
node_55,realized,BalancedAcceptance,10,1,1.0,1,57
node_55,realized,BalancedAcceptance,11,0,1.0,4,57
node_55,realized,BalancedAcceptance,12,0,0.0,1,57
node_55,realized,BalancedAcceptance,13,0,1.0,2,57
node_55,realized,BalancedAcceptance,14,1,2.0,3,57
node_55,realized,BalancedAcceptance,15,1,1.0,3,57
node_55,realized,BalancedAcceptance,16,0,1.0,3,57
node_55,realized,BalancedAcceptance,17,1,1.0,2,57
node_55,realized,BalancedAcceptance,18,0,1.0,1,57
node_55,realized,BalancedAcceptance,19,0,1.0,2,57
node_55,realized,BalancedAcceptance,20,0,0.0,1,57
node_55,realized,BalancedAcceptance,21,0,1.0,3,57
node_55,realized,BalancedAcceptance,22,1,1.0,3,57
node_55,realized,BalancedAcceptance,23,1,2.0,5,57
node_55,realized,BalancedAcceptance,24,0,1.0,3,57
node_55,realized,BalancedAcceptance,25,1,3.0,4,57
node_55,realized,BalancedAcceptance,26,1,2.0,3,57
node_55,realized,BalancedAcceptance,27,0,0.0,4,57
node_55,realized,BalancedAcceptance,28,3,3.0,6,57
node_55,realized,BalancedAcceptance,29,0,1.0,3,57
node_55,realized,BalancedAcceptance,30,1,2.0,3,57
node_55,realized,BalancedAcceptance,31,1,2.0,4,57
node_55,realized,BalancedAcceptance,32,1,2.0,3,57
node_55,realized,BalancedAcceptance,33,0,3.0,4,57
node_55,realized,BalancedAcceptance,34,0,3.0,6,57
node_55,realized,BalancedAcceptance,35,1,2.0,4,57
node_55,realized,BalancedAcceptance,36,1,1.0,3,57
node_55,realized,BalancedAcceptance,37,1,2.0,4,57
node_55,realized,BalancedAcceptance,38,1,3.0,7,57
node_55,realized,BalancedAcceptance,39,0,1.0,5,57
node_55,realized,BalancedAcceptance,40,0,2.0,3,57
node_55,realized,BalancedAcceptance,41,3,3.0,4,57
node_55,realized,BalancedAcceptance,42,1,3.0,6,57
node_55,realized,BalancedAcceptance,43,1,2.0,4,57
node_55,realized,BalancedAcceptance,44,0,1.0,6,57
node_55,realized,BalancedAcceptance,45,0,1.0,1,57
node_55,realized,BalancedAcceptance,46,1,2.0,5,57
node_55,realized,BalancedAcceptance,47,1,4.0,6,57
node_55,realized,BalancedAcceptance,48,1,3.0,5,57
node_55,realized,BalancedAcceptance,49,2,3.0,7,57
node_55,realized,BalancedAcceptance,50,1,4.0,7,57
node_55,realized,BalancedAcceptance,51,2,5.0,7,57
node_55,realized,BalancedAcceptance,52,1,3.0,5,57
node_55,realized,BalancedAcceptance,53,1,1.0,3,57
node_55,realized,BalancedAcceptance,54,1,3.0,5,57
node_55,realized,BalancedAcceptance,55,1,3.0,4,57
node_55,realized,BalancedAcceptance,56,3,5.0,6,57
node_55,realized,BalancedAcceptance,57,3,3.0,5,57
node_55,realized,BalancedAcceptance,58,2,5.0,6,57
node_55,realized,BalancedAcceptance,59,2,3.0,4,57
node_55,realized,BalancedAcceptance,60,1,5.0,6,57
node_55,realized,BalancedAcceptance,61,2,5.0,9,57
node_55,realized,BalancedAcceptance,62,0,2.0,4,57
node_55,realized,BalancedAcceptance,63,1,4.0,11,57
node_55,realized,BalancedAcceptance,64,1,2.0,3,57
node_55,realized,BalancedAcceptance,65,1,6.0,7,57
node_55,realized,BalancedAcceptance,66,2,6.0,8,57
node_55,realized,BalancedAcceptance,67,1,4.0,6,57
node_55,realized,BalancedAcceptance,68,3,6.0,8,57
node_55,realized,BalancedAcceptance,69,2,5.0,9,57
node_55,realized,BalancedAcceptance,70,3,5.0,6,57
node_55,realized,BalancedAcceptance,71,1,3.0,6,57
node_55,realized,BalancedAcceptance,72,2,4.0,7,57
node_55,realized,BalancedAcceptance,73,1,5.0,8,57
node_55,realized,BalancedAcceptance,74,0,5.0,10,57
node_55,realized,BalancedAcceptance,75,0,5.0,10,57
node_55,realized,BalancedAcceptance,76,5,7.0,10,57
node_55,realized,BalancedAcceptance,77,2,4.0,6,57
node_55,realized,BalancedAcceptance,78,4,5.0,5,57
node_55,realized,BalancedAcceptance,79,4,5.0,7,57
node_55,realized,BalancedAcceptance,80,3,5.0,10,57
node_55,realized,BalancedAcceptance,81,4,6.0,8,57
node_55,realized,BalancedAcceptance,82,0,5.0,8,57
node_55,realized,BalancedAcceptance,83,1,2.0,6,57
node_55,realized,BalancedAcceptance,84,2,4.0,8,57
node_55,realized,BalancedAcceptance,85,0,4.0,6,57
node_55,realized,BalancedAcceptance,86,3,3.0,8,57
node_55,realized,BalancedAcceptance,87,5,5.0,10,57
node_55,realized,BalancedAcceptance,88,3,7.0,8,57
node_55,realized,BalancedAcceptance,89,4,6.0,9,57
node_55,realized,BalancedAcceptance,90,4,7.0,12,57
node_55,realized,BalancedAcceptance,91,2,5.0,9,57
node_55,realized,BalancedAcceptance,92,2,4.0,6,57
node_55,realized,BalancedAcceptance,93,3,6.0,9,57
node_55,realized,BalancedAcceptance,94,3,7.0,8,57
node_55,realized,BalancedAcceptance,95,2,5.0,7,57
node_55,realized,BalancedAcceptance,96,3,6.0,11,57
node_55,realized,BalancedAcceptance,97,2,6.0,8,57
node_55,realized,BalancedAcceptance,98,6,6.0,8,57
node_55,realized,BalancedAcceptance,99,4,6.0,7,57
node_55,realized,BalancedAcceptance,100,5,7.0,14,57
node_55,detected,BalancedAcceptance,1,0,0.0,0,28
node_55,detected,BalancedAcceptance,2,0,0.0,0,28
node_55,detected,BalancedAcceptance,3,0,0.0,0,28
node_55,detected,BalancedAcceptance,4,0,0.0,0,28
node_55,detected,BalancedAcceptance,5,0,0.0,0,28
node_55,detected,BalancedAcceptance,6,0,0.0,0,28
node_55,detected,BalancedAcceptance,7,0,0.0,1,28
node_55,detected,BalancedAcceptance,8,0,0.0,2,28
node_55,detected,BalancedAcceptance,9,0,0.0,1,28
node_55,detected,BalancedAcceptance,10,0,0.0,1,28
node_55,detected,BalancedAcceptance,11,0,0.0,0,28
node_55,detected,BalancedAcceptance,12,0,0.0,1,28
node_55,detected,BalancedAcceptance,13,0,0.0,1,28
node_55,detected,BalancedAcceptance,14,0,0.0,0,28
node_55,detected,BalancedAcceptance,15,0,0.0,0,28
node_55,detected,BalancedAcceptance,16,0,0.0,0,28
node_55,detected,BalancedAcceptance,17,0,0.0,0,28
node_55,detected,BalancedAcceptance,18,0,0.0,1,28
node_55,detected,BalancedAcceptance,19,0,0.0,0,28
node_55,detected,BalancedAcceptance,20,0,0.0,1,28
node_55,detected,BalancedAcceptance,21,0,0.0,0,28
node_55,detected,BalancedAcceptance,22,0,0.0,0,28
node_55,detected,BalancedAcceptance,23,0,0.0,0,28
node_55,detected,BalancedAcceptance,24,0,0.0,1,28
node_55,detected,BalancedAcceptance,25,0,0.0,0,28
node_55,detected,BalancedAcceptance,26,0,0.0,0,28
node_55,detected,BalancedAcceptance,27,0,0.0,0,28
node_55,detected,BalancedAcceptance,28,0,0.0,2,28
node_55,detected,BalancedAcceptance,29,0,0.0,1,28
node_55,detected,BalancedAcceptance,30,0,0.0,1,28
node_55,detected,BalancedAcceptance,31,0,0.0,0,28
node_55,detected,BalancedAcceptance,32,0,0.0,0,28
node_55,detected,BalancedAcceptance,33,0,0.0,1,28
node_55,detected,BalancedAcceptance,34,0,0.0,0,28
node_55,detected,BalancedAcceptance,35,0,0.0,0,28
node_55,detected,BalancedAcceptance,36,0,0.0,1,28
node_55,detected,BalancedAcceptance,37,0,0.0,2,28
node_55,detected,BalancedAcceptance,38,0,0.0,1,28
node_55,detected,BalancedAcceptance,39,0,0.0,1,28
node_55,detected,BalancedAcceptance,40,0,0.0,0,28
node_55,detected,BalancedAcceptance,41,0,0.0,1,28
node_55,detected,BalancedAcceptance,42,0,0.0,1,28
node_55,detected,BalancedAcceptance,43,0,0.0,0,28
node_55,detected,BalancedAcceptance,44,0,0.0,1,28
node_55,detected,BalancedAcceptance,45,0,0.0,1,28
node_55,detected,BalancedAcceptance,46,0,0.0,0,28
node_55,detected,BalancedAcceptance,47,0,0.0,0,28
node_55,detected,BalancedAcceptance,48,0,1.0,1,28
node_55,detected,BalancedAcceptance,49,0,0.0,0,28
node_55,detected,BalancedAcceptance,50,0,0.0,1,28
node_55,detected,BalancedAcceptance,51,0,0.0,1,28
node_55,detected,BalancedAcceptance,52,0,0.0,1,28
node_55,detected,BalancedAcceptance,53,0,0.0,1,28
node_55,detected,BalancedAcceptance,54,0,0.0,1,28
node_55,detected,BalancedAcceptance,55,0,0.0,1,28
node_55,detected,BalancedAcceptance,56,0,0.0,1,28
node_55,detected,BalancedAcceptance,57,0,0.0,0,28
node_55,detected,BalancedAcceptance,58,0,0.0,1,28
node_55,detected,BalancedAcceptance,59,0,0.0,1,28
node_55,detected,BalancedAcceptance,60,0,0.0,1,28
node_55,detected,BalancedAcceptance,61,0,0.0,1,28
node_55,detected,BalancedAcceptance,62,0,0.0,2,28
node_55,detected,BalancedAcceptance,63,0,0.0,1,28
node_55,detected,BalancedAcceptance,64,0,0.0,1,28
node_55,detected,BalancedAcceptance,65,0,0.0,1,28
node_55,detected,BalancedAcceptance,66,0,0.0,1,28
node_55,detected,BalancedAcceptance,67,0,1.0,1,28
node_55,detected,BalancedAcceptance,68,0,0.0,3,28
node_55,detected,BalancedAcceptance,69,0,0.0,1,28
node_55,detected,BalancedAcceptance,70,0,0.0,1,28
node_55,detected,BalancedAcceptance,71,0,0.0,1,28
node_55,detected,BalancedAcceptance,72,0,1.0,3,28
node_55,detected,BalancedAcceptance,73,0,0.0,1,28
node_55,detected,BalancedAcceptance,74,0,0.0,0,28
node_55,detected,BalancedAcceptance,75,0,1.0,1,28
node_55,detected,BalancedAcceptance,76,0,0.0,1,28
node_55,detected,BalancedAcceptance,77,0,0.0,1,28
node_55,detected,BalancedAcceptance,78,0,0.0,1,28
node_55,detected,BalancedAcceptance,79,0,0.0,1,28
node_55,detected,BalancedAcceptance,80,0,0.0,0,28
node_55,detected,BalancedAcceptance,81,0,0.0,2,28
node_55,detected,BalancedAcceptance,82,0,1.0,1,28
node_55,detected,BalancedAcceptance,83,0,0.0,1,28
node_55,detected,BalancedAcceptance,84,0,1.0,1,28
node_55,detected,BalancedAcceptance,85,0,0.0,2,28
node_55,detected,BalancedAcceptance,86,0,1.0,1,28
node_55,detected,BalancedAcceptance,87,0,1.0,2,28
node_55,detected,BalancedAcceptance,88,0,0.0,1,28
node_55,detected,BalancedAcceptance,89,1,1.0,2,28
node_55,detected,BalancedAcceptance,90,0,0.0,0,28
node_55,detected,BalancedAcceptance,91,0,1.0,4,28
node_55,detected,BalancedAcceptance,92,0,1.0,1,28
node_55,detected,BalancedAcceptance,93,0,0.0,2,28
node_55,detected,BalancedAcceptance,94,0,0.0,1,28
node_55,detected,BalancedAcceptance,95,0,1.0,1,28
node_55,detected,BalancedAcceptance,96,0,0.0,2,28
node_55,detected,BalancedAcceptance,97,0,0.0,1,28
node_55,detected,BalancedAcceptance,98,0,1.0,2,28
node_55,detected,BalancedAcceptance,99,0,1.0,2,28
node_55,detected,BalancedAcceptance,100,0,1.0,1,28
