sp,var,sampler,nbon,low,med,upp,deg
node_55,realized,BalancedAcceptance,1,0,0.0,0,57
node_55,realized,BalancedAcceptance,501,18,23.0,26,57
node_55,realized,BalancedAcceptance,1001,28,31.0,33,57
node_55,realized,BalancedAcceptance,1501,35,38.0,40,57
node_55,realized,BalancedAcceptance,2001,37,43.0,47,57
node_55,realized,BalancedAcceptance,2501,37,41.0,45,57
node_55,realized,BalancedAcceptance,3001,46,47.0,48,57
node_55,realized,BalancedAcceptance,3501,44,48.0,51,57
node_55,realized,BalancedAcceptance,4001,47,49.0,52,57
node_55,realized,BalancedAcceptance,4501,49,51.0,52,57
node_55,realized,BalancedAcceptance,5001,48,49.0,51,57
node_55,realized,BalancedAcceptance,5501,50,52.0,53,57
node_55,realized,BalancedAcceptance,6001,51,52.0,55,57
node_55,realized,BalancedAcceptance,6501,51,54.0,56,57
node_55,realized,BalancedAcceptance,7001,50,53.0,55,57
node_55,realized,BalancedAcceptance,7501,52,55.0,57,57
node_55,realized,BalancedAcceptance,8001,51,53.0,55,57
node_55,realized,BalancedAcceptance,8501,54,54.0,56,57
node_55,realized,BalancedAcceptance,9001,55,56.0,56,57
node_55,realized,BalancedAcceptance,9501,53,55.0,57,57
node_55,realized,BalancedAcceptance,10001,53,54.0,57,57
node_55,detected,BalancedAcceptance,1,0,0.0,0,28
node_55,detected,BalancedAcceptance,501,1,1.0,3,28
node_55,detected,BalancedAcceptance,1001,2,5.0,8,28
node_55,detected,BalancedAcceptance,1501,8,8.0,10,28
node_55,detected,BalancedAcceptance,2001,8,9.0,11,28
node_55,detected,BalancedAcceptance,2501,10,11.0,13,28
node_55,detected,BalancedAcceptance,3001,10,12.0,17,28
node_55,detected,BalancedAcceptance,3501,9,11.0,14,28
node_55,detected,BalancedAcceptance,4001,14,17.0,22,28
node_55,detected,BalancedAcceptance,4501,17,17.0,19,28
node_55,detected,BalancedAcceptance,5001,15,18.0,20,28
node_55,detected,BalancedAcceptance,5501,17,18.0,21,28
node_55,detected,BalancedAcceptance,6001,18,21.0,23,28
node_55,detected,BalancedAcceptance,6501,17,19.0,21,28
node_55,detected,BalancedAcceptance,7001,17,19.0,22,28
node_55,detected,BalancedAcceptance,7501,19,21.0,23,28
node_55,detected,BalancedAcceptance,8001,19,21.0,23,28
node_55,detected,BalancedAcceptance,8501,20,23.0,25,28
node_55,detected,BalancedAcceptance,9001,22,22.0,26,28
node_55,detected,BalancedAcceptance,9501,20,23.0,25,28
node_55,detected,BalancedAcceptance,10001,20,24.0,26,28
