nbon,nrep,refmethod,prop_monitored_sp,prop_possible_int,prop_realized_int,prop_detected_int
1,1,global,0.5333333333333333,0.296398891966759,0.0046168051708217915,0.003693444136657433
1,2,global,0.6,0.30752688172043013,0.007526881720430108,0.004301075268817204
1,3,global,0.49333333333333335,0.2203765227021041,0.006644518272425249,0.004429678848283499
1,4,global,0.5066666666666667,0.27887617065556713,0.005202913631633715,0.0
1,5,global,0.4666666666666667,0.21153846153846154,0.004180602006688963,0.0008361204013377926
1,6,global,0.4266666666666667,0.22232916265640038,0.0028873917228103944,0.0
1,7,global,0.4,0.20096153846153847,0.0019230769230769232,0.0019230769230769232
1,8,global,0.4266666666666667,0.1993704092339979,0.007345225603357817,0.004197271773347324
1,9,global,0.5066666666666667,0.28654545454545455,0.002909090909090909,0.0014545454545454545
1,10,global,0.49333333333333335,0.24340949033391915,0.0035149384885764497,0.0017574692442882249
1,11,global,0.5066666666666667,0.24531668153434433,0.0044603033006244425,0.0008920606601248885
1,12,global,0.5466666666666666,0.306340718105424,0.002291825821237586,0.002291825821237586
1,13,global,0.4533333333333333,0.18656182987848463,0.005003573981415297,0.0035739814152966403
1,14,global,0.4533333333333333,0.21970357454228423,0.006102877070619006,0.0026155187445510027
1,15,global,0.4533333333333333,0.19382911392405064,0.003955696202531646,0.003955696202531646
1,16,global,0.56,0.355,0.007,0.004
1,17,global,0.38666666666666666,0.126,0.005,0.003
1,18,global,0.5066666666666667,0.2813688212927757,0.0038022813688212928,0.0
1,19,global,0.49333333333333335,0.24350408314773572,0.002969561989606533,0.0014847809948032665
1,20,global,0.5466666666666666,0.3160250671441361,0.0035810205908683975,0.0017905102954341987
5,1,global,0.9733333333333334,0.7488789237668162,0.017937219730941704,0.006278026905829596
5,2,global,0.9466666666666667,0.7782497875955819,0.0237892948173322,0.011045029736618521
5,3,global,0.92,0.7012244897959183,0.013877551020408163,0.00816326530612245
5,4,global,0.9066666666666666,0.6954813359528488,0.012770137524557957,0.004911591355599214
5,5,global,0.9333333333333333,0.7596899224806202,0.016472868217054265,0.006782945736434108
5,6,global,0.8666666666666667,0.6612903225806451,0.022071307300509338,0.006791171477079796
5,7,global,0.9333333333333333,0.705078125,0.0234375,0.0078125
5,8,global,0.9333333333333333,0.6954765751211631,0.017770597738287562,0.01050080775444265
5,9,global,0.96,0.773224043715847,0.025500910746812388,0.01092896174863388
5,10,global,0.9333333333333333,0.7316602316602316,0.02027027027027027,0.008687258687258687
5,11,global,0.92,0.7331136738056013,0.018121911037891267,0.008237232289950576
5,12,global,0.9066666666666666,0.7097625329815304,0.020228671943711522,0.006156552330694811
5,13,global,0.9466666666666667,0.6612284069097889,0.018234165067178502,0.005758157389635317
5,14,global,0.9333333333333333,0.8043103448275862,0.02327586206896552,0.010344827586206896
5,15,global,0.9733333333333334,0.75,0.022151898734177215,0.006329113924050633
5,16,global,0.9066666666666666,0.6390423572744015,0.020257826887661142,0.0055248618784530384
5,17,global,0.88,0.647636039250669,0.02230151650312221,0.010704727921498661
5,18,global,0.9466666666666667,0.7077986179664363,0.01678183613030602,0.006910167818361303
5,19,global,0.92,0.7435622317596566,0.028969957081545063,0.011802575107296138
5,20,global,0.9066666666666666,0.7290192113245703,0.014155712841253791,0.006066734074823054
10,1,global,0.9866666666666667,0.861796643632774,0.04738400789733465,0.012833168805528134
10,2,global,0.9733333333333334,0.8085106382978723,0.04591265397536394,0.022396416573348264
10,3,global,0.9733333333333334,0.8635578583765112,0.02936096718480138,0.008635578583765112
