sim,sp,type,sampler,nbon,low,med,upp,deg
1,node_55,realized,BalancedAcceptance,1,0.0,0.0,0.0,57
1,node_55,realized,BalancedAcceptance,6,0.0,0.0,0.017543859649122806,57
1,node_55,realized,BalancedAcceptance,11,0.0,0.008771929824561403,0.03508771929824561,57
1,node_55,realized,BalancedAcceptance,16,0.0,0.017543859649122806,0.062280701754385916,57
1,node_55,realized,BalancedAcceptance,21,0.0,0.017543859649122806,0.04473684210526311,57
1,node_55,realized,BalancedAcceptance,26,0.0,0.03508771929824561,0.07017543859649122,57
1,node_55,realized,BalancedAcceptance,31,0.0,0.03508771929824561,0.09736842105263153,57
1,node_55,realized,BalancedAcceptance,36,0.0,0.03508771929824561,0.08771929824561403,57
1,node_55,realized,BalancedAcceptance,41,0.007894736842105267,0.05263157894736842,0.09736842105263153,57
1,node_55,realized,BalancedAcceptance,46,0.007894736842105267,0.05263157894736842,0.08771929824561403,57
1,node_55,realized,BalancedAcceptance,51,0.017543859649122806,0.05263157894736842,0.10526315789473684,57
1,node_55,realized,BalancedAcceptance,56,0.017543859649122806,0.05263157894736842,0.09736842105263153,57
1,node_55,realized,BalancedAcceptance,61,0.017543859649122806,0.07017543859649122,0.13245614035087713,57
1,node_55,realized,BalancedAcceptance,66,0.04298245614035088,0.08771929824561403,0.14035087719298245,57
1,node_55,realized,BalancedAcceptance,71,0.03508771929824561,0.08771929824561403,0.11491228070175434,57
1,node_55,realized,BalancedAcceptance,76,0.03508771929824561,0.07894736842105263,0.14999999999999994,57
1,node_55,realized,BalancedAcceptance,81,0.03508771929824561,0.08771929824561403,0.13245614035087713,57
1,node_55,realized,BalancedAcceptance,86,0.04298245614035088,0.08771929824561403,0.14999999999999994,57
1,node_55,realized,BalancedAcceptance,91,0.05263157894736842,0.08771929824561403,0.14999999999999994,57
1,node_55,realized,BalancedAcceptance,96,0.05263157894736842,0.10526315789473684,0.16754385964912274,57
1,node_55,realized,BalancedAcceptance,101,0.03508771929824561,0.10526315789473684,0.17543859649122806,57
1,node_55,realized,BalancedAcceptance,106,0.03508771929824561,0.10526315789473684,0.17543859649122806,57
1,node_55,realized,BalancedAcceptance,111,0.07017543859649122,0.12280701754385964,0.20263157894736838,57
1,node_55,realized,BalancedAcceptance,116,0.08771929824561403,0.12280701754385964,0.18508771929824555,57
1,node_55,realized,BalancedAcceptance,121,0.05263157894736842,0.12280701754385964,0.18508771929824555,57
1,node_55,realized,BalancedAcceptance,126,0.07017543859649122,0.14035087719298245,0.19298245614035087,57
1,node_55,realized,BalancedAcceptance,131,0.07017543859649122,0.14035087719298245,0.21052631578947367,57
1,node_55,realized,BalancedAcceptance,136,0.07017543859649122,0.14035087719298245,0.21052631578947367,57
1,node_55,realized,BalancedAcceptance,141,0.0780701754385965,0.14912280701754385,0.237719298245614,57
1,node_55,realized,BalancedAcceptance,146,0.07017543859649122,0.14035087719298245,0.237719298245614,57
